 time,noel,npt,ntens,stress,strain,elstrain,plstrain,dlstrain,pwic,cumwork,heatinc,cumheat,Trise,cumT
0.025000,       1,       1,       1,  0.21902E-11, -0.30001E-04,  0.10951E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.23880-317,  0.00000E+00,  0.39534-318,  0.00000E+00,  0.39534-318
0.025000,       1,       1,       2,  0.21902E-11, -0.30001E-04,  0.10951E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.39534-318,  0.00000E+00,  0.39534-318
0.025000,       1,       1,       3,  0.20001E+02,  0.10000E-03,  0.10001E-03,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.39534-318,  0.00000E+00,  0.39534-318
0.025000,       1,       1,       4, -0.26062E-15, -0.33880E-20, -0.13031E-20,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.00000E+00,  0.00000E+00,  0.39534-318,  0.00000E+00,  0.39534-318
0.025000,       1,       1,       5, -0.52130E-15, -0.67769E-20, -0.26065E-20,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.00000E+00,  0.00000E+00,  0.39534-318,  0.00000E+00,  0.39534-318
0.025000,       1,       1,       6, -0.67764E-19, -0.88093E-24, -0.33882E-24,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.00000E+00,  0.00000E+00,  0.39534-318,  0.00000E+00,  0.39534-318
0.025000,       1,       2,       1,  0.21938E-11, -0.30001E-04,  0.10969E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.23880-317,  0.78256E-29,  0.78256E-29,  0.21210E-35,  0.21210E-35
0.025000,       1,       2,       2,  0.21938E-11, -0.30001E-04,  0.10969E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.78256E-29,  0.78256E-29,  0.21210E-35,  0.21210E-35
0.025000,       1,       2,       3,  0.20001E+02,  0.10001E-03,  0.10001E-03,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.78256E-29,  0.78256E-29,  0.21210E-35,  0.21210E-35
0.025000,       1,       2,       4, -0.26062E-15, -0.33880E-20, -0.13031E-20,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.00000E+00,  0.78256E-29,  0.78256E-29,  0.21210E-35,  0.21210E-35
0.025000,       1,       2,       5, -0.52130E-15, -0.67769E-20, -0.26065E-20,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.00000E+00,  0.78256E-29,  0.78256E-29,  0.21210E-35,  0.21210E-35
0.025000,       1,       2,       6,  0.10425E-14,  0.13553E-19,  0.52127E-20,  0.83403E-20,  0.83403E-20,  0.86951E-35,  0.86951E-35,  0.78256E-29,  0.78256E-29,  0.21210E-35,  0.21210E-35
0.025000,       1,       3,       1,  0.21920E-11, -0.30001E-04,  0.10960E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.23880-317,  0.48961E-30,  0.48961E-30,  0.13270E-36,  0.13270E-36
0.025000,       1,       3,       2,  0.21920E-11, -0.30001E-04,  0.10960E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.48961E-30,  0.48961E-30,  0.13270E-36,  0.13270E-36
0.025000,       1,       3,       3,  0.20001E+02,  0.10001E-03,  0.10001E-03,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.48961E-30,  0.48961E-30,  0.13270E-36,  0.13270E-36
0.025000,       1,       3,       4, -0.79473E-35, -0.10331E-39, -0.39737E-40,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.00000E+00,  0.48961E-30,  0.48961E-30,  0.13270E-36,  0.13270E-36
0.025000,       1,       3,       5,  0.26077E-15,  0.33900E-20,  0.13039E-20,  0.20862E-20,  0.20862E-20,  0.54401E-36,  0.54401E-36,  0.48961E-30,  0.48961E-30,  0.13270E-36,  0.13270E-36
0.025000,       1,       3,       6, -0.55388E-15, -0.72004E-20, -0.27694E-20,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.00000E+00,  0.48961E-30,  0.48961E-30,  0.13270E-36,  0.13270E-36
0.025000,       1,       4,       1,  0.21920E-11, -0.30001E-04,  0.10960E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.23880-317,  0.78347E-29,  0.78347E-29,  0.21235E-35,  0.21235E-35
0.025000,       1,       4,       2,  0.21920E-11, -0.30001E-04,  0.10960E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.78347E-29,  0.78347E-29,  0.21235E-35,  0.21235E-35
0.025000,       1,       4,       3,  0.20001E+02,  0.10000E-03,  0.10001E-03,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.78347E-29,  0.78347E-29,  0.21235E-35,  0.21235E-35
0.025000,       1,       4,       4,  0.79473E-35,  0.10331E-39,  0.39737E-40,  0.63578E-40,  0.63578E-40,  0.50528E-75,  0.50528E-75,  0.78347E-29,  0.78347E-29,  0.21235E-35,  0.21235E-35
0.025000,       1,       4,       5,  0.10100E-14,  0.13131E-19,  0.50502E-20,  0.80804E-20,  0.80804E-20,  0.81615E-35,  0.81615E-35,  0.78347E-29,  0.78347E-29,  0.21235E-35,  0.21235E-35
0.025000,       1,       4,       6,  0.26069E-15,  0.33889E-20,  0.13034E-20,  0.20855E-20,  0.20855E-20,  0.54366E-36,  0.54366E-36,  0.78347E-29,  0.78347E-29,  0.21235E-35,  0.21235E-35
0.025000,       1,       5,       1,  0.21920E-11, -0.30001E-04,  0.10960E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.23880-317,  0.14975E-29,  0.14975E-29,  0.40588E-36,  0.40588E-36
0.025000,       1,       5,       2,  0.21920E-11, -0.30001E-04,  0.10960E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.14975E-29,  0.14975E-29,  0.40588E-36,  0.40588E-36
0.025000,       1,       5,       3,  0.20001E+02,  0.10001E-03,  0.10001E-03,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.14975E-29,  0.14975E-29,  0.40588E-36,  0.40588E-36
0.025000,       1,       5,       4, -0.11076E-14, -0.14399E-19, -0.55381E-20,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.00000E+00,  0.14975E-29,  0.14975E-29,  0.40588E-36,  0.40588E-36
0.025000,       1,       5,       5, -0.26065E-15, -0.33885E-20, -0.13033E-20,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.00000E+00,  0.14975E-29,  0.14975E-29,  0.40588E-36,  0.40588E-36
0.025000,       1,       5,       6,  0.45606E-15,  0.59287E-20,  0.22803E-20,  0.36484E-20,  0.36484E-20,  0.16639E-35,  0.16639E-35,  0.14975E-29,  0.14975E-29,  0.40588E-36,  0.40588E-36
0.025000,       1,       6,       1,  0.21956E-11, -0.30001E-04,  0.10978E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.23880-317,  0.59914E-29,  0.59914E-29,  0.16239E-35,  0.16239E-35
0.025000,       1,       6,       2,  0.21956E-11, -0.30001E-04,  0.10978E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.59914E-29,  0.59914E-29,  0.16239E-35,  0.16239E-35
0.025000,       1,       6,       3,  0.20001E+02,  0.10001E-03,  0.10001E-03,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.59914E-29,  0.59914E-29,  0.16239E-35,  0.16239E-35
0.025000,       1,       6,       4, -0.65154E-15, -0.84701E-20, -0.32577E-20,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.00000E+00,  0.59914E-29,  0.59914E-29,  0.16239E-35,  0.16239E-35
0.025000,       1,       6,       5, -0.39096E-15, -0.50825E-20, -0.19548E-20,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.00000E+00,  0.59914E-29,  0.59914E-29,  0.16239E-35,  0.16239E-35
0.025000,       1,       6,       6,  0.91221E-15,  0.11859E-19,  0.45611E-20,  0.72977E-20,  0.72977E-20,  0.66571E-35,  0.66571E-35,  0.59914E-29,  0.59914E-29,  0.16239E-35,  0.16239E-35
0.025000,       1,       7,       1,  0.21938E-11, -0.30001E-04,  0.10969E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.23880-317,  0.00000E+00,  0.39534-318,  0.00000E+00,  0.39534-318
0.025000,       1,       7,       2,  0.21920E-11, -0.30001E-04,  0.10960E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.39534-318,  0.00000E+00,  0.39534-318
0.025000,       1,       7,       3,  0.20001E+02,  0.10001E-03,  0.10001E-03,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.39534-318,  0.00000E+00,  0.39534-318
0.025000,       1,       7,       4, -0.55381E-15, -0.71996E-20, -0.27691E-20,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.00000E+00,  0.00000E+00,  0.39534-318,  0.00000E+00,  0.39534-318
0.025000,       1,       7,       5, -0.61893E-15, -0.80461E-20, -0.30946E-20,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.00000E+00,  0.00000E+00,  0.39534-318,  0.00000E+00,  0.39534-318
0.025000,       1,       7,       6, -0.19549E-15, -0.25414E-20, -0.97744E-21,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.00000E+00,  0.00000E+00,  0.39534-318,  0.00000E+00,  0.39534-318
0.025000,       1,       8,       1,  0.21938E-11, -0.30001E-04,  0.10969E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.23880-317,  0.24468E-30,  0.24468E-30,  0.66319E-37,  0.66319E-37
0.025000,       1,       8,       2,  0.21938E-11, -0.30001E-04,  0.10969E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.24468E-30,  0.24468E-30,  0.66319E-37,  0.66319E-37
0.025000,       1,       8,       3,  0.20001E+02,  0.10000E-03,  0.10001E-03,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.24468E-30,  0.24468E-30,  0.66319E-37,  0.66319E-37
0.025000,       1,       8,       4, -0.97732E-16, -0.12705E-20, -0.48866E-21,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.00000E+00,  0.24468E-30,  0.24468E-30,  0.66319E-37,  0.66319E-37
0.025000,       1,       8,       5,  0.13035E-15,  0.16945E-20,  0.65173E-21,  0.10428E-20,  0.10428E-20,  0.13592E-36,  0.13592E-36,  0.24468E-30,  0.24468E-30,  0.66319E-37,  0.66319E-37
0.025000,       1,       8,       6,  0.13036E-15,  0.16947E-20,  0.65180E-21,  0.10429E-20,  0.10429E-20,  0.13595E-36,  0.13595E-36,  0.24468E-30,  0.24468E-30,  0.66319E-37,  0.66319E-37
