  time,noel,npt,ntens,stress,strain,elstrain,plstrain,dPlastic,pwi,cumwork,heatinc,cumH,Trise,cumT
     0.00000,       1,       1,       1,  2.19024798E-12,  0.00000000E+00,  1.09512399E-17,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.02500,       1,       1,       1,  2.19380070E-12, -3.00015000E-05,  1.09690035E-17,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.05000,       1,       1,       1,  2.19912977E-12, -6.00060000E-05,  1.09956488E-17,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.07500,       1,       1,       1,  2.19380070E-12, -9.00135000E-05,  1.09690035E-17,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.10000,       1,       1,       1,  2.19735341E-12, -1.20024000E-04,  1.09867671E-17,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.12500,       1,       1,       1,  2.20445884E-12, -1.50037500E-04,  1.10222942E-17,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.15000,       1,       1,       1,  2.20623519E-12, -1.80054000E-04,  1.10311760E-17,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.17500,       1,       1,       1,  2.20978791E-12, -2.10073500E-04,  1.10489395E-17,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.20000,       1,       1,       1,  2.18136620E-12, -2.40096000E-04,  1.09068310E-17,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.22500,       1,       1,       1,  2.16715534E-12, -2.70121500E-04,  1.08357767E-17,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.25000,       1,       1,       1,  2.21689334E-12, -3.00150000E-04,  1.10844667E-17,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.27500,       1,       1,       1,  3.75530646E-10, -3.30181500E-04,  1.87765323E-15,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.30000,       1,       1,       1,  3.75934588E-10, -3.60214060E-04,  1.87967294E-15,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.32500,       1,       1,       1,  3.74964564E-10, -3.90251560E-04,  1.87482282E-15,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.35000,       1,       1,       1,  3.75781582E-10, -4.20292060E-04,  1.87890791E-15,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.37500,       1,       1,       1,  3.75607819E-10, -4.50335560E-04,  1.87803910E-15,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.40000,       1,       1,       1,  3.75430514E-10, -4.80382060E-04,  1.87715257E-15,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.42500,       1,       1,       1,  3.75453014E-10, -5.10431560E-04,  1.87726507E-15,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.45000,       1,       1,       1,  3.75675907E-10, -5.40484059E-04,  1.87837953E-15,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.47500,       1,       1,       1,  3.75898756E-10, -5.70539559E-04,  1.87949378E-15,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.50000,       1,       1,       1,  3.75721446E-10, -6.00598059E-04,  1.87860723E-15,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.52500,       1,       1,       1,  3.75343309E-10, -6.30659559E-04,  1.87671655E-15,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.55000,       1,       1,       1,  3.75766638E-10, -6.60724059E-04,  1.87883319E-15,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.57500,       1,       1,       1,  3.75589504E-10, -6.90791559E-04,  1.87794752E-15,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.60000,       1,       1,       1,  3.75812574E-10, -7.20862059E-04,  1.87906287E-15,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.62500,       1,       1,       1,  3.76036374E-10, -7.50935559E-04,  1.88018187E-15,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.65000,       1,       1,       1,  3.75657006E-10, -7.81012059E-04,  1.87828503E-15,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.67500,       1,       1,       1,  3.75880764E-10, -8.11091558E-04,  1.87940382E-15,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.70000,       1,       1,       1,  3.75703035E-10, -8.41174058E-04,  1.87851517E-15,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.72500,       1,       1,       1,  3.76128371E-10, -8.71259558E-04,  1.88064186E-15,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.75000,       1,       1,       1,  3.75545702E-10, -9.01348058E-04,  1.87772851E-15,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.77500,       1,       1,       1,  3.75568458E-10, -9.31439558E-04,  1.87784229E-15,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.80000,       1,       1,       1,  3.75590584E-10, -9.61534058E-04,  1.87795292E-15,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.82500,       1,       1,       1,  3.75208483E-10, -9.91631558E-04,  1.87604241E-15,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.85000,       1,       1,       1,  3.76041325E-10, -1.02173206E-03,  1.88020663E-15,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.87500,       1,       1,       1,  3.75862529E-10, -1.05183556E-03,  1.87931264E-15,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.90000,       1,       1,       1,  3.76697145E-10, -1.08194206E-03,  1.88348573E-15,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.92500,       1,       1,       1,  3.76314035E-10, -1.11205156E-03,  1.88157017E-15,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.95000,       1,       1,       1,  3.76134322E-10, -1.14216406E-03,  1.88067161E-15,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.97500,       1,       1,       1,  3.75750900E-10, -1.17227956E-03,  1.87875450E-15,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     1.00000,       1,       1,       1,  3.76178984E-10, -1.20239806E-03,  1.88089492E-15,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.00000,       1,       1,       2,  2.19024798E-12,  0.00000000E+00,  1.09512399E-17,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.02500,       1,       1,       2,  2.19024798E-12, -3.00015000E-05,  1.09512399E-17,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.05000,       1,       1,       2,  2.19735341E-12, -6.00060000E-05,  1.09867671E-17,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
     0.07500,       1,       1,       2,  2.19202434E-12, -9.00135000E-05,  1.09601217E-17,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
